TIPO_INGRESSO,Conclusão,Continua na USP,Evasão,Outros,Saída para outra IES
CONV_PEC_G,66.7,0.0,16.7,16.7,0.0
ENEM_SISU,60.6,6.2,33.2,0.0,0.0
ENEM_USP,0.0,50.0,50.0,0.0,0.0
FUVEST,61.6,6.8,31.2,0.1,0.2
GRADUADO,0.0,0.0,100.0,0.0,0.0
OLIMP,100.0,0.0,0.0,0.0,0.0
TRANSF_EXTERNA,76.0,0.0,24.0,0.0,0.0
TRANSF_INTERNA,53.3,4.4,40.0,2.2,0.0
