DESFECHO,mean,median,std,count
Conclusão,186.74,188.0,6.68,1751
Continua na USP,43.81,40.0,28.42,191
Evasão,53.92,37.5,48.76,896
Outros,44.4,32.0,33.54,5
Saída para outra IES,41.33,38.0,25.88,6
